timestamp,pair,buyDex,sellDex,netProfitUSD,isProfitable
2026-06-22T11:22:49.841Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-10028.1533,false
2026-06-22T11:22:49.845Z,USDT/BTCB,PancakeSwap V3,PancakeSwap V2,-10044.8504,false
2026-06-22T11:22:49.848Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-2576.6922,false
2026-06-22T11:22:49.854Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,9492.5187,true
2026-06-22T11:23:20.512Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-10028.1533,false
2026-06-22T11:23:20.514Z,USDT/BTCB,PancakeSwap V3,PancakeSwap V2,-10044.8504,false
2026-06-22T11:23:20.515Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-2576.6876,false
2026-06-22T11:23:20.518Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,9492.5045,true
2026-06-22T11:29:59.470Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-67.5309,false
2026-06-22T11:29:59.472Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-417.5126,false
2026-06-22T11:29:59.474Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-1040.9832,false
2026-06-22T11:29:59.475Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,-63.6784,false
2026-06-22T11:30:31.472Z,USDT/WBNB,PancakeSwap V3,PancakeSwap V2,-87.0130,false
2026-06-22T11:30:31.925Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-419.0579,false
2026-06-22T11:30:32.160Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-1040.9832,false
2026-06-22T11:30:32.162Z,WBNB/USDT,PancakeSwap V2,PancakeSwap V3,-82.0627,false
2026-06-22T11:31:02.793Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-86.5882,false
2026-06-22T11:31:02.796Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-419.1790,false
2026-06-22T11:31:02.799Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-1040.9832,false
2026-06-22T11:31:02.802Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,-81.8372,false
2026-06-22T11:31:33.413Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-84.8610,false
2026-06-22T11:31:33.415Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-417.2626,false
2026-06-22T11:31:33.416Z,USDT/CAKE,PancakeSwap V3,PancakeSwap V2,-1040.9836,false
2026-06-22T11:31:33.417Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,-80.2117,false
2026-06-22T11:32:03.987Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-75.6778,false
2026-06-22T11:32:03.989Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-413.3787,false
2026-06-22T11:32:03.990Z,USDT/CAKE,PancakeSwap V2,PancakeSwap V3,-1039.8040,false
2026-06-22T11:32:03.991Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,-71.5421,false
2026-06-22T11:32:35.059Z,USDT/WBNB,PancakeSwap V2,PancakeSwap V3,-74.9228,false
2026-06-22T11:32:35.061Z,USDT/BTCB,PancakeSwap V2,PancakeSwap V3,-413.3787,false
2026-06-22T11:32:35.063Z,USDT/CAKE,PancakeSwap V2,PancakeSwap V3,-1039.8040,false
2026-06-22T11:32:35.064Z,WBNB/USDT,PancakeSwap V3,PancakeSwap V2,-70.8285,false
